id,title,chart_rank,chart_date,artist,url,region,chart,trend,streams,track_id,album,popularity,duration_ms,explicit,release_date,available_markets,af_danceability,af_energy,af_key,af_loudness,af_mode,af_speechiness,af_acousticness,af_instrumentalness,af_liveness,af_valence,af_tempo,af_time_signature,predicted_popularity,is_popular
4zjPqvs74EE9fOeJ0ZOcaB,Nadie Te Amará,0,,,,,,0,0.0,4zjPqvs74EE9fOeJ0ZOcaB,,0,191373,0,,,0.7020000219345093,0.6679999828338623,0,-5.27400016784668,1,0.0786999985575676,0.0888999998569488,3.2200000533e-06,0.1289999932050705,0.6050000190734863,184.06500244140625,4,1,0
4vuYyxrXCotejrJ3lb4mfV,Streets of Rage (Good Ending),0,,,,,,0,0.0,4vuYyxrXCotejrJ3lb4mfV,,0,140374,0,,,0.7200000286102295,0.777999997138977,10,-1.5549999475479126,1,0.2440000027418136,0.3420000076293945,0.0,0.0729999989271164,0.656000018119812,139.96200561523438,4,1,0
6kmYVXTn3AK7o5OTRb3XoT,Brass Suite 1970,0,,,,,,0,0.0,6kmYVXTn3AK7o5OTRb3XoT,,0,372146,0,,,0.7360000014305115,0.6899999976158142,2,-7.046999931335449,1,0.0399999991059303,0.3370000123977661,0.4180000126361847,0.1260000020265579,0.7129999995231628,88.0270004272461,4,1,0
2WGMAgOBBHQmE6OdPWJlw4,Variation,0,,,,,,0,0.0,2WGMAgOBBHQmE6OdPWJlw4,,0,170280,0,,,0.7889999747276306,0.7770000100135803,11,-8.836999893188477,0,0.0403999984264373,0.1220000013709068,0.0025599999353289,0.0615000016987323,0.7699999809265137,100.11299896240234,4,1,0
5yIOfoCFmtKaKjYwPU43mM,River of Tears,0,,,,,,0,0.0,5yIOfoCFmtKaKjYwPU43mM,,0,241653,0,,,0.7120000123977661,0.7599999904632568,10,-6.5929999351501465,1,0.0307000000029802,0.2349999994039535,0.0,0.2560000121593475,0.7329999804496765,142.0850067138672,4,1,0
3hPh4zBO3F39byJFW2SOjZ,Al Laat,0,,,,,,0,0.0,3hPh4zBO3F39byJFW2SOjZ,,0,221634,0,,,0.7559999823570251,0.7350000143051147,2,-5.525000095367432,1,0.0689999982714653,0.3580000102519989,0.0,0.0645999982953071,0.6650000214576721,89.98400115966797,4,1,0
2Zw1msJdegYXo5wN8MetYg,Caroline,0,,,,,,0,0.0,2Zw1msJdegYXo5wN8MetYg,,0,317840,0,,,0.6959999799728394,0.7710000276565552,2,-9.531000137329102,0,0.0265999995172023,0.1150000020861625,0.00179999996908,0.3659999966621399,0.6850000023841858,120.02100372314452,4,1,0
6LtgfnOW5oY3EBx7BsJKGa,Hairdown,0,,,,,,0,0.0,6LtgfnOW5oY3EBx7BsJKGa,,0,210640,0,,,0.6899999976158142,0.6330000162124634,1,-7.440999984741211,0,0.0296999998390674,0.098300002515316,1.85999997484e-05,0.31700000166893,0.6909999847412109,125.97599792480467,4,1,0
0MljtdYG833U71xFTrL2vC,The Take Over,0,,,,,,0,0.0,0MljtdYG833U71xFTrL2vC,,0,267467,1,,,0.7319999933242798,0.7799999713897705,7,-4.77400016784668,1,0.3779999911785126,0.1110000014305114,0.0,0.1480000019073486,0.7369999885559082,158.1739959716797,4,1,0
471VTeKtz7p0v2uuK44FZm,I Love You,0,,,,,,0,0.0,471VTeKtz7p0v2uuK44FZm,,0,289542,0,,,0.6949999928474426,0.6650000214576721,7,-7.907999992370605,1,0.2460000067949295,0.2329999953508377,0.0,0.1030000001192092,0.5609999895095825,166.08299255371094,4,1,0
